codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
DMAC11,Residencial,"R$ 78,99",671.0,"R$ 0,84","0,81%","2,93%","5,25%","9,72%","0,98%","0,87%","0,81%","2,93%","-3,61%","-2,83%","-1,77%","R$ 24.988.101,37","R$ 160,07","0,49",N/A,N/A,N/A,N/A,N/A,N/A,0
MBRF11,Outros,"R$ 800,00",117.0,"R$ 6,90","0,80%","2,22%","4,18%","8,48%","0,74%","0,70%","0,71%","2,22%","-8,18%","-7,45%","-11,03%","R$ 115.763.633,63","R$ 1.138,69","0,70",N/A,N/A,N/A,N/A,"0,00%",N/A,2
ONEF11,Lajes Corporativas,"R$ 140,69",158.0,"R$ 0,64","0,44%","1,31%","2,59%","5,09%","0,44%","0,43%","0,42%","1,31%","0,49%","0,93%","1,25%","R$ 146.178.085,59","R$ 160,46","0,88",N/A,N/A,N/A,N/A,"0,00%",N/A,1
RCRB11,Lajes Corporativas,"R$ 162,00",6638.0,"R$ 0,80","0,50%","1,47%","2,97%","6,20%","0,49%","0,49%","0,52%","1,47%","-3,77%","-3,29%","-2,24%","R$ 729.567.564,25","R$ 197,68","0,82",N/A,N/A,N/A,N/A,"7,40%",N/A,10
RVBI11,Títulos e Val. Mob.,"R$ 94,75",6141.0,"R$ 0,72","0,78%","2,23%","4,23%","0,00%","0,74%","0,71%","0,00%","1,50%","-4,03%","-3,29%","-2,59%","R$ 138.652.994,52","R$ 96,29","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
CVBI11,Títulos e Val. Mob.,"R$ 106,95",40767.0,"R$ 1,24","1,13%","4,11%","7,36%","11,36%","1,37%","1,23%","0,95%","2,28%","1,01%","2,16%","3,33%","R$ 353.260.153,13","R$ 100,16","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
IRDM11,Títulos e Val. Mob.,"R$ 135,98",53175.0,"R$ 1,23","0,87%","2,92%","5,84%","10,30%","0,97%","0,97%","0,86%","1,79%","-3,77%","-2,93%","-2,04%","R$ 1.594.556.077,09","R$ 99,66","1,36",N/A,N/A,N/A,N/A,N/A,N/A,0
ERCR11,,N/A,N/A,"R$ 630,69","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 222.673.897,46","R$ 93.717,97",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
RBRY11,Títulos e Val. Mob.,"R$ 106,00",20852.0,"R$ 0,75","0,71%","2,33%","4,21%","8,01%","0,78%","0,70%","0,67%","1,42%","-1,40%","-0,69%","0,00%","R$ 205.131.346,63","R$ 104,93","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
RBRR11,Títulos e Val. Mob.,"R$ 99,60",16717.0,"R$ 0,62","0,64%","1,90%","3,44%","6,71%","0,63%","0,57%","0,56%","1,26%","0,99%","1,63%","2,27%","R$ 757.868.069,96","R$ 99,22","1,00",N/A,N/A,N/A,N/A,N/A,N/A,0
VGIP11,Outros,"R$ 108,23",26157.0,"R$ 1,15","0,99%","3,39%","6,46%","0,00%","1,13%","1,08%","0,00%","2,01%","1,33%","2,34%","3,38%","R$ 331.299.375,00","R$ 94,81","1,14",N/A,N/A,N/A,N/A,N/A,N/A,0
RBRF11,Títulos e Val. Mob.,"R$ 93,40",45182.0,"R$ 0,60","0,65%","2,14%","4,47%","7,88%","0,71%","0,74%","0,66%","1,25%","-6,84%","-6,23%","-5,66%","R$ 1.273.257.054,09","R$ 93,07","1,00",N/A,N/A,N/A,N/A,N/A,N/A,0
IBFF11,Títulos e Val. Mob.,"R$ 72,96",1545.0,"R$ 0,42","0,56%","1,47%","3,35%","6,09%","0,49%","0,56%","0,51%","1,04%","-4,88%","-4,35%","-3,89%","R$ 58.290.001,14","R$ 87,43","0,83",N/A,N/A,N/A,N/A,N/A,N/A,0
MCCI11,Títulos e Val. Mob.,"R$ 103,09",31111.0,"R$ 0,70","0,67%","1,93%","3,69%","7,28%","0,64%","0,61%","0,61%","1,35%","1,89%","2,57%","3,27%","R$ 890.069.479,94","R$ 99,70","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
