codigodofundo,setor,precoatual,liquidezdiaria,dividendo,dividendyield,dy_3m_acumulado,dy_6m_acumulado,dy_12m_acumulado,dy_3m_media,dy_6m_media,dy_12m_media,dyano,variacaopreco,rentab_periodo,rentab_acumulada,patrimonioliq_,vpa,p/vpa,dypatrimonial,variacaopatrimonial,rentab_patr_noperiodo,rentab_patr_acumulada,vacanciafisica,vacanciafinanceira,quantidadeativos
NSLU11,Hospital,259.99,937.0,1.79,0.0068000000000000005,0.019,0.0382,0.0933,0.0063,0.0064,0.0078000000000000005,0.0134,-0.0436,-0.0371,-0.030699999999999998,243835191.14,212.99,1.22,,,,,0.0,,1
HBRH11,Híbrido,98.06,627.0,0.67,0.0067,0.020099999999999996,0.0406,0.0815,0.0067,0.0068000000000000005,0.0068000000000000005,0.0067,0.0,0.0067,0.0067,245496562.67,109.32,0.9,0.0060999999999999995,0.0001,0.0062,0.0062,,,3
LGCP11,Logística,94.51,463.0,0.55,0.0058,0.0159,0.0297,0.058499999999999996,0.0053,0.005,0.0049,0.0159,-0.042699999999999995,-0.0371,-0.0256,269987468.14,98.79,0.96,,,,,0.004,,5
QIFF11,Títulos e Val. Mob.,102.15,2779.0,0.75,0.0073,0.0218,0.045899999999999996,0.0,0.0073,0.0077,0.0,0.0218,-0.0246,-0.0175,0.043899999999999995,15114521.35,100.76,1.01,,,,,,,0
PLRI11,Títulos e Val. Mob.,44.67,554.0,0.09,0.002,0.0147,0.0327,0.0649,0.0049,0.0055000000000000005,0.0054,0.0147,-0.0169,-0.0149,-0.004699999999999999,52349401.14,54.86,0.81,,,,,,,0
BNFS11,Outros,123.0,391.0,1.0,0.008100000000000001,0.0242,0.0481,0.09359999999999999,0.008100000000000001,0.008,0.0078000000000000005,0.0242,0.0008,0.0089,0.0027,72641557.55,103.77,1.19,,,,,,,18
KISU11,Títulos e Val. Mob.,120.0,22109.0,0.81,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0194,0.053899999999999997,0.0611,0.0983,74294910.61,97.33,1.23,0.0067,-0.0191,-0.0125,-0.0054,,,0
RFOF11,Títulos e Val. Mob.,86.85,1272.0,0.63,0.0073,0.0217,0.044199999999999996,0.0,0.0072,0.0074,0.0,0.0217,-0.0262,-0.0191,-0.015700000000000002,102250831.81,94.84,0.92,,,,,,,0
XPSF11,Outros,95.85,13942.0,0.73,0.0075,0.023,0.0461,0.0908,0.0077,0.0077,0.0076,0.023,-0.0053,0.0022,0.030299999999999997,429752947.5,99.25,0.97,,,,,,,0
HSAF11,Títulos e Val. Mob.,98.49,3130.0,1.1,0.011000000000000001,0.0297,0.044000000000000004,0.0,0.009899999999999999,0.0073,0.0,0.0297,0.0182,0.0294,0.09230000000000001,89216410.7,98.78,1.0,,,,,,,0
FIIP11B,Logística,197.89,663.0,1.28,0.0064,0.0181,0.0296,0.105,0.006,0.0049,0.0087,0.0181,-0.0195,-0.0131,-0.0167,179087530.4,193.16,1.02,,,,,0.0,,7
RBIV11,Títulos e Val. Mob.,85.6,1783.0,0.7,0.008100000000000001,0.025099999999999997,0.0435,0.076,0.0084,0.0072,0.0063,0.025099999999999997,0.0072,0.0154,0.0673,102384810.21,99.95,0.86,,,,,,,0
BCIA11,Títulos e Val. Mob.,103.8,2498.0,0.64,0.0060999999999999995,0.0178,0.034300000000000004,0.0626,0.0059,0.005699999999999999,0.0052,0.0178,-0.0113,-0.0053,-0.0558,429459197.92,115.48,0.9,,,,,,,0
EDFO11B,Lajes Corporativas,253.47,2.0,1.31,0.0053,0.017,0.0348,0.0687,0.005699999999999999,0.0058,0.005699999999999999,0.017,-0.008100000000000001,-0.0029,0.0084,50447701.23,213.76,1.19,,,,,0.0696,,1
CXCE11B,Outros,81.99,1017.0,0.92,0.011200000000000002,0.0305,0.056299999999999996,0.1056,0.0102,0.009399999999999999,0.0088,0.0305,-0.0564,-0.0458,-0.17489999999999997,138924560.26,81.1,1.01,,,,,0.0,,1
